Nomor_Peserta Nama_Peserta Tinggi Berat Usia

 010290000001 Testing01 - - 26  
 010290000001 Testing01 - - 26  
 010290000001 Testing01 - - 26  
 120598000002 Testing02 - - 18  
 120598000001 Testing02 - - 18  
 120598000001 Testing02 - - 18  
 150999000002 Testing03 - - 16  
 010789000003 Testing04 - - 27  
 010789000003 Testing04 - - 27  
 050784000005 Testing05 - - 32  
 050784000005 Testing05 - - 32  
 150990000006 Testing06 - - 25  
 150990000006 Testing06 - - 25  
 020897000007 Testing07 - - 18  
 120998000008 Testing08 - - 17  
 070890000009 Testing09 - - 25  
 100897000010 Testing10 - - 18  
